created_at,audio_source_id,track_id
2016-07-05 00:00:43,12847,41173
2016-07-05 00:00:43,11806,146098
2016-07-05 00:00:43,12772,100048
2016-07-05 00:00:43,12631,713282
2016-07-05 00:00:43,13916,969106
2016-07-05 00:00:43,14165,233341
2016-07-05 00:00:43,12977,167528
2016-07-05 00:00:43,3321,51032
2016-07-05 00:00:43,11932,227
2016-07-05 00:00:43,14205,698126
2016-07-05 00:00:43,13911,640718
2016-07-05 00:00:43,12311,154604
2016-07-05 00:00:43,2389,695797
2016-07-05 00:00:44,3623,906410
2016-07-05 00:00:44,13032,150756
2016-07-05 00:00:44,3308,574037
2016-07-05 00:00:44,12606,187733
2016-07-05 00:00:44,13011,246793
2016-07-05 00:00:44,3383,252729
2016-07-05 00:00:44,14414,696793
2016-07-05 00:00:44,12937,213194
2016-07-05 00:00:45,2455,695232
2016-07-05 00:00:45,3443,970046
2016-07-05 00:00:45,2924,2624
2016-07-05 00:00:45,14474,625079
2016-07-05 00:00:45,14489,44279
2016-07-05 00:00:45,14350,268989
2016-07-05 00:00:45,12301,38203
2016-07-05 00:00:45,3100,195651
2016-07-05 00:00:46,12791,660327
2016-07-05 00:00:46,4203,966548
2016-07-05 00:00:47,3314,972446
2016-07-05 00:00:47,3660,149294
2016-07-05 00:00:47,14544,148393
2016-07-05 00:00:47,3424,174542
2016-07-05 00:00:47,13041,9003
2016-07-05 00:00:47,3647,99014
2016-07-05 00:00:47,14579,90100
2016-07-05 00:00:48,3535,917388
2016-07-05 00:00:48,3609,160285
2016-07-05 00:00:48,9622,752969
2016-07-05 00:00:48,14689,151348
2016-07-05 00:00:49,4008,39841
2016-07-05 00:00:49,8057,51231
2016-07-05 00:00:50,4348,211437
2016-07-05 00:00:50,2765,549182
2016-07-05 00:00:50,4139,899839
2016-07-05 00:00:50,4498,211863
2016-07-05 00:00:50,4323,5101
2016-07-05 00:00:50,4059,172532
2016-07-05 00:00:51,4314,41002
2016-07-05 00:00:51,4110,697623
2016-07-05 00:00:51,11706,631629
2016-07-05 00:00:51,4114,86477
2016-07-05 00:00:52,5353,696776
2016-07-05 00:00:52,8268,149961
2016-07-05 00:00:52,4030,529094
2016-07-05 00:00:52,4324,824628
2016-07-05 00:00:52,11296,234956
2016-07-05 00:00:53,11627,697291
2016-07-05 00:00:53,11027,718964
2016-07-05 00:00:53,4290,700315
2016-07-05 00:00:53,4385,256951
2016-07-05 00:00:53,4338,872593
2016-07-05 00:00:54,4635,695675
2016-07-05 00:00:54,4759,19465
